Running on 16-08-2020, 23:27
16-08-2020, 23:27 -- MARALOVER -- Current Price: 14.1 -- Crossover: 9&21 on 13-08-2020(12.85) -- Crossover: 9&55 on 13-08-2020(12.85)
16-08-2020, 23:27 -- INGERRAND -- Current Price: 630.1 -- Crossover: 9&21 on 10-08-2020(631.3) -- Crossover: 9&55 on 12-08-2020(630.45)
16-08-2020, 23:27 -- NAHARINDUS -- Current Price: 26.55 -- Crossover: 9&21 on 12-08-2020(26.15) -- Crossover: 9&55 on 10-08-2020(26.25)
16-08-2020, 23:27 -- RUCHIRA -- Current Price: 49.25 -- Crossover: 9&21 on 11-08-2020(50.15) -- Crossover: 9&55 on 10-08-2020(47.15)
16-08-2020, 23:27 -- VASCONEQ -- Current Price: 10.65 -- Crossover: 9&21 on 12-08-2020(8.9) -- Crossover: 9&55 on 12-08-2020(8.9)
16-08-2020, 23:27 -- INDIGO -- Current Price: 1139.15 -- Crossover: 9&21 on 12-08-2020(1034.55) -- Crossover: 9&55 on 12-08-2020(1034.55)
16-08-2020, 23:27 -- ZEELEARN -- Current Price: 14.85 -- Crossover: 9&21 on 12-08-2020(14.25) -- Crossover: 9&55 on 12-08-2020(14.25)
16-08-2020, 23:27 -- SHRIRAMCIT -- Current Price: 787.25 -- Crossover: 9&21 on 12-08-2020(687.1) -- Crossover: 9&55 on 13-08-2020(716.6)
16-08-2020, 23:27 -- KARMAENG -- Current Price: 11.85 -- Crossover: 9&21 on 11-08-2020(10.8) -- Crossover: 9&55 on 11-08-2020(10.8)
16-08-2020, 23:27 -- SNOWMAN -- Current Price: 31.0 -- Crossover: 9&21 on 11-08-2020(30.45) -- Crossover: 9&55 on 11-08-2020(30.45)
16-08-2020, 23:27 -- PUNJABCHEM -- Current Price: 500.15 -- Crossover: 9&21 on 11-08-2020(444.35) -- Crossover: 9&55 on 11-08-2020(444.35)
