"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"BAJAJFINSV","EQ","25-Sep-2019","       8240.70","       8221.00","       8374.95","       8160.80","       8265.00","       8255.60","       8284.66","     474853","          3933996347.50","      60379"
"BAJAJFINSV","EQ","26-Sep-2019","       8255.60","       8300.00","       8498.80","       8295.00","       8486.00","       8464.60","       8419.22","     581577","          4896425956.00","      64323"
"BAJAJFINSV","EQ","27-Sep-2019","       8464.60","       8480.00","       8577.00","       8404.00","       8560.00","       8550.35","       8537.45","     384278","          3280755605.30","      37185"
"BAJAJFINSV","EQ","30-Sep-2019","       8550.35","       8560.00","       8668.80","       8410.35","       8497.90","       8513.00","       8543.45","     462717","          3953200614.45","      53309"
"BAJAJFINSV","EQ","01-Oct-2019","       8513.00","       8571.00","       8613.95","       8285.90","       8471.00","       8458.35","       8472.43","     352809","          2989149760.40","      44501"
"BAJAJFINSV","EQ","03-Oct-2019","       8458.35","       8433.00","       8485.00","       8320.45","       8420.10","       8446.45","       8425.30","     207759","          1750432228.00","      24262"
"BAJAJFINSV","EQ","04-Oct-2019","       8446.45","       8514.00","       8541.35","       8250.70","       8284.75","       8300.75","       8414.91","     271416","          2283941141.35","      29653"
"BAJAJFINSV","EQ","07-Oct-2019","       8300.75","       8295.00","       8355.00","       8190.00","       8240.00","       8220.00","       8278.57","     276990","          2293081015.75","      27601"
"BAJAJFINSV","EQ","09-Oct-2019","       8220.00","       8279.00","       8349.90","       8176.00","       8300.00","       8318.25","       8257.09","     329837","          2723493344.20","      33409"
"BAJAJFINSV","EQ","10-Oct-2019","       8318.25","       8280.00","       8345.00","       8175.00","       8202.00","       8201.85","       8242.46","     200005","          1648533991.25","      23125"
"BAJAJFINSV","EQ","11-Oct-2019","       8201.85","       8224.00","       8328.85","       8105.00","       8147.55","       8169.45","       8201.20","     270260","          2216457120.00","      30822"
"BAJAJFINSV","EQ","14-Oct-2019","       8169.45","       8195.00","       8254.10","       8052.00","       8070.00","       8082.25","       8156.94","     190372","          1552853427.40","      20728"
"BAJAJFINSV","EQ","15-Oct-2019","       8082.25","       8130.00","       8130.00","       8013.00","       8050.00","       8035.85","       8070.25","     217114","          1752164536.90","      19905"
"BAJAJFINSV","EQ","16-Oct-2019","       8035.85","       8085.55","       8260.00","       8065.05","       8151.00","       8134.30","       8140.85","     453154","          3689060002.30","      42082"
"BAJAJFINSV","EQ","17-Oct-2019","       8134.30","       8154.00","       8357.40","       8102.00","       8316.65","       8316.65","       8213.54","     622466","          5112646362.55","      39639"
"BAJAJFINSV","EQ","18-Oct-2019","       8316.65","       8316.00","       8437.60","       8230.00","       8285.00","       8265.95","       8328.42","     352909","          2939175669.15","      31151"
"BAJAJFINSV","EQ","22-Oct-2019","       8265.95","       8300.00","       8393.00","       7975.25","       8005.00","       8008.85","       8192.78","     503368","          4123983476.45","      51345"
"BAJAJFINSV","EQ","23-Oct-2019","       8008.85","       8173.00","       8276.60","       8021.00","       8076.10","       8070.95","       8142.77","     570989","          4649432280.65","      53255"
"BAJAJFINSV","EQ","24-Oct-2019","       8070.95","       8129.95","       8200.00","       8035.00","       8085.00","       8091.00","       8127.75","     336515","          2735110371.35","      33640"
"BAJAJFINSV","EQ","25-Oct-2019","       8091.00","       8141.00","       8160.00","       7852.00","       7978.00","       7972.15","       8011.76","     354844","          2842925239.50","      40102"
"BAJAJFINSV","EQ","27-Oct-2019","       7972.15","       7980.00","       8085.45","       7954.35","       8016.15","       8001.50","       8015.01","      41755","           334666929.00","       5011"
"BAJAJFINSV","EQ","29-Oct-2019","       8001.50","       8113.00","       8174.35","       8013.00","       8150.00","       8150.90","       8119.33","     389923","          3165913832.95","      52616"
"BAJAJFINSV","EQ","30-Oct-2019","       8150.90","       8196.85","       8199.05","       8061.25","       8086.00","       8082.40","       8120.49","     226406","          1838527354.95","      26805"
"BAJAJFINSV","EQ","31-Oct-2019","       8082.40","       8120.00","       8241.95","       8100.00","       8130.00","       8134.35","       8179.30","     423287","          3462192262.05","      36910"
"BAJAJFINSV","EQ","01-Nov-2019","       8134.35","       8168.00","       8429.00","       8110.50","       8394.85","       8384.75","       8347.47","     656439","          5479608035.70","      56137"
"BAJAJFINSV","EQ","04-Nov-2019","       8384.75","       8480.00","       8750.00","       8450.25","       8745.00","       8706.60","       8636.20","     552812","          4774197680.95","      47326"
"BAJAJFINSV","EQ","05-Nov-2019","       8706.60","       8800.00","       8887.75","       8655.40","       8839.90","       8845.75","       8776.22","     598420","          5251865872.85","      66393"
"BAJAJFINSV","EQ","06-Nov-2019","       8845.75","       8800.00","       8875.00","       8721.05","       8735.30","       8772.85","       8787.72","     320303","          2814732297.65","      35973"
"BAJAJFINSV","EQ","07-Nov-2019","       8772.85","       8798.00","       8859.70","       8762.05","       8827.40","       8832.90","       8815.72","     213383","          1881124433.90","      26266"
"BAJAJFINSV","EQ","08-Nov-2019","       8832.90","       8795.00","       8950.00","       8750.00","       8812.00","       8818.85","       8853.34","     294904","          2610886065.60","      34977"
"BAJAJFINSV","EQ","11-Nov-2019","       8818.85","       8799.00","       8925.00","       8775.00","       8925.00","       8903.30","       8862.60","     174978","          1550759984.30","      21337"
"BAJAJFINSV","EQ","13-Nov-2019","       8903.30","       8888.00","       9027.00","       8855.55","       8970.00","       8978.35","       8956.21","     360673","          3230263998.30","      37151"
"BAJAJFINSV","EQ","14-Nov-2019","       8978.35","       8979.95","       9091.00","       8900.00","       9090.00","       9061.85","       9014.63","     348634","          3142804903.25","      55135"
"BAJAJFINSV","EQ","15-Nov-2019","       9061.85","       9070.20","       9140.00","       9033.60","       9057.90","       9057.85","       9095.92","     295919","          2691655506.45","      29859"
"BAJAJFINSV","EQ","18-Nov-2019","       9057.85","       9065.50","       9126.00","       9015.45","       9099.50","       9104.25","       9077.84","     211760","          1922322350.10","      24040"
"BAJAJFINSV","EQ","19-Nov-2019","       9104.25","       9070.00","       9189.00","       9066.30","       9163.00","       9152.80","       9147.14","     237653","          2173844961.95","      26363"
"BAJAJFINSV","EQ","20-Nov-2019","       9152.80","       9135.00","       9185.00","       9060.00","       9074.55","       9079.25","       9133.13","     243993","          2228420208.50","      24747"
"BAJAJFINSV","EQ","21-Nov-2019","       9079.25","       9085.00","       9117.00","       9032.00","       9050.00","       9055.10","       9079.38","     173328","          1573710174.80","      18910"
"BAJAJFINSV","EQ","22-Nov-2019","       9055.10","       9059.80","       9080.00","       8981.00","       9074.00","       9039.30","       9025.26","     155772","          1405883499.30","      15923"
"BAJAJFINSV","EQ","25-Nov-2019","       9039.30","       9051.00","       9220.00","       9015.20","       9190.00","       9175.00","       9106.62","     148437","          1351759224.35","      16287"
"BAJAJFINSV","EQ","26-Nov-2019","       9175.00","       9170.00","       9215.00","       9089.60","       9121.35","       9121.30","       9149.88","     295094","          2700075598.10","      34027"
"BAJAJFINSV","EQ","27-Nov-2019","       9121.30","       9141.00","       9260.30","       9121.30","       9255.20","       9228.45","       9188.39","     147351","          1353919027.70","      22220"
"BAJAJFINSV","EQ","28-Nov-2019","       9228.45","       9254.50","       9284.75","       9190.05","       9240.20","       9240.10","       9228.39","     164635","          1519316478.35","      19853"
"BAJAJFINSV","EQ","29-Nov-2019","       9240.10","       9230.00","       9235.80","       9095.30","       9118.90","       9110.25","       9155.10","     148877","          1362983957.95","      21054"
"BAJAJFINSV","EQ","02-Dec-2019","       9110.25","       9110.00","       9110.00","       8900.00","       8995.20","       8948.30","       8952.38","     320750","          2871475817.65","      33145"
"BAJAJFINSV","EQ","03-Dec-2019","       8948.30","       8975.00","       9127.30","       8926.50","       9100.00","       9089.75","       9020.96","     180880","          1631711031.25","      24835"
"BAJAJFINSV","EQ","04-Dec-2019","       9089.75","       9068.90","       9088.00","       8955.05","       8993.00","       9030.25","       9008.40","     216459","          1949948445.30","      22715"
"BAJAJFINSV","EQ","05-Dec-2019","       9030.25","       9015.00","       9030.25","       8935.05","       8955.00","       8965.50","       8984.16","     119246","          1071324942.30","      14665"
"BAJAJFINSV","EQ","06-Dec-2019","       8965.50","       9012.00","       9035.50","       8824.25","       8860.00","       8853.10","       8917.32","     167027","          1489432858.35","      17509"
"BAJAJFINSV","EQ","09-Dec-2019","       8853.10","       8896.70","       8994.75","       8821.05","       8921.00","       8929.00","       8926.11","     149833","          1337425553.80","      20760"
"BAJAJFINSV","EQ","10-Dec-2019","       8929.00","       8910.00","       8993.00","       8879.00","       8935.00","       8927.20","       8942.20","     143935","          1287095380.15","      18476"
"BAJAJFINSV","EQ","11-Dec-2019","       8927.20","       8950.00","       9100.00","       8935.05","       9095.00","       9079.10","       9045.19","     225881","          2043136520.20","      28926"
"BAJAJFINSV","EQ","12-Dec-2019","       9079.10","       9100.00","       9184.00","       9081.20","       9170.00","       9169.25","       9145.41","     191985","          1755780798.85","      21988"
"BAJAJFINSV","EQ","13-Dec-2019","       9169.25","       9200.00","       9274.90","       9142.15","       9217.30","       9210.30","       9215.56","     215357","          1984636206.80","      25579"
"BAJAJFINSV","EQ","16-Dec-2019","       9210.30","       9250.00","       9300.00","       9150.00","       9281.80","       9288.10","       9268.71","     197075","          1826630879.65","      26216"
"BAJAJFINSV","EQ","17-Dec-2019","       9288.10","       9281.80","       9389.80","       9261.40","       9382.95","       9361.75","       9333.11","     220998","          2062599000.95","      31676"
"BAJAJFINSV","EQ","18-Dec-2019","       9361.75","       9365.00","       9421.00","       9326.65","       9360.00","       9362.60","       9373.35","     228424","          2141097707.55","      25026"
"BAJAJFINSV","EQ","19-Dec-2019","       9362.60","       9350.00","       9358.80","       9256.60","       9290.00","       9270.75","       9306.67","     135843","          1264245789.10","      19830"
"BAJAJFINSV","EQ","20-Dec-2019","       9270.75","       9290.00","       9333.00","       9260.00","       9282.00","       9280.05","       9291.74","     167670","          1557945996.05","      26435"
"BAJAJFINSV","EQ","23-Dec-2019","       9280.05","       9281.75","       9370.00","       9260.75","       9290.00","       9304.05","       9318.34","     169704","          1581359103.05","      23274"
"BAJAJFINSV","EQ","24-Dec-2019","       9304.05","       9290.05","       9327.90","       9252.30","       9302.10","       9294.85","       9300.11","     100160","           931499124.80","      10822"
"BAJAJFINSV","EQ","26-Dec-2019","       9294.85","       9325.00","       9392.00","       9290.00","       9347.90","       9350.10","       9353.31","     165007","          1543360810.45","      17511"
"BAJAJFINSV","EQ","27-Dec-2019","       9350.10","       9360.00","       9465.00","       9348.05","       9440.00","       9443.15","       9410.36","     133407","          1255407949.15","      15206"
"BAJAJFINSV","EQ","30-Dec-2019","       9443.15","       9444.00","       9482.00","       9402.55","       9423.80","       9439.20","       9441.31","     124965","          1179833567.45","      12641"
"BAJAJFINSV","EQ","31-Dec-2019","       9439.20","       9422.40","       9444.95","       9379.00","       9420.00","       9393.35","       9415.62","     116732","          1099103881.95","      11628"
"BAJAJFINSV","EQ","01-Jan-2020","       9393.35","       9420.00","       9432.45","       9351.95","       9371.35","       9378.45","       9386.28","      63668","           597605431.10","       7532"
"BAJAJFINSV","EQ","02-Jan-2020","       9378.45","       9378.50","       9530.95","       9378.45","       9525.00","       9505.60","       9474.82","     157891","          1495989408.15","      13307"
"BAJAJFINSV","EQ","03-Jan-2020","       9505.60","       9465.00","       9504.60","       9324.00","       9352.00","       9345.85","       9395.24","     182479","          1714433092.95","      21847"
"BAJAJFINSV","EQ","06-Jan-2020","       9345.85","       9339.00","       9339.00","       9022.00","       9029.00","       9042.70","       9118.93","     244289","          2227654498.60","      29396"
"BAJAJFINSV","EQ","07-Jan-2020","       9042.70","       9125.00","       9265.00","       9065.05","       9080.00","       9095.65","       9141.52","     242676","          2218427376.30","      23159"
"BAJAJFINSV","EQ","08-Jan-2020","       9095.65","       8971.00","       9166.85","       8961.60","       9144.00","       9145.50","       9092.38","     269718","          2452378749.35","      24581"
"BAJAJFINSV","EQ","09-Jan-2020","       9145.50","       9499.90","       9499.90","       9209.00","       9375.10","       9395.25","       9339.60","     214197","          2000515204.25","      26850"
"BAJAJFINSV","EQ","10-Jan-2020","       9395.25","       9375.15","       9434.85","       9338.30","       9362.00","       9372.25","       9386.14","     139393","          1308362223.15","      16472"
"BAJAJFINSV","EQ","13-Jan-2020","       9372.25","       9399.80","       9468.00","       9365.00","       9462.00","       9455.25","       9429.84","     150713","          1421200133.50","      19247"
"BAJAJFINSV","EQ","14-Jan-2020","       9455.25","       9446.00","       9579.80","       9405.30","       9574.00","       9554.85","       9505.83","     162899","          1548489671.90","      18883"
"BAJAJFINSV","EQ","15-Jan-2020","       9554.85","       9539.85","       9619.00","       9501.60","       9586.00","       9589.15","       9574.05","     137230","          1313847500.05","      16401"
"BAJAJFINSV","EQ","16-Jan-2020","       9589.15","       9590.00","       9640.00","       9565.05","       9635.00","       9622.15","       9606.07","     135782","          1304331085.80","      16182"
"BAJAJFINSV","EQ","17-Jan-2020","       9622.15","       9614.00","       9740.30","       9601.00","       9725.00","       9715.00","       9678.16","     284129","          2749845254.70","      24884"
"BAJAJFINSV","EQ","20-Jan-2020","       9715.00","       9725.00","       9764.35","       9550.00","       9594.00","       9572.75","       9662.79","     184198","          1779865725.40","      19202"
"BAJAJFINSV","EQ","21-Jan-2020","       9572.75","       9583.95","       9625.00","       9508.20","       9572.45","       9534.30","       9571.81","     174507","          1670347638.00","      22520"
"BAJAJFINSV","EQ","22-Jan-2020","       9534.30","       9590.00","       9600.00","       9495.00","       9545.00","       9547.50","       9554.71","     139525","          1333120746.20","      12824"
"BAJAJFINSV","EQ","23-Jan-2020","       9547.50","       9547.50","       9596.00","       9484.15","       9509.40","       9534.20","       9543.09","     181280","          1729972042.10","      15995"
"BAJAJFINSV","EQ","24-Jan-2020","       9534.20","       9519.20","       9650.00","       9480.10","       9628.90","       9633.75","       9586.40","     123978","          1188502944.30","      14622"
"BAJAJFINSV","EQ","27-Jan-2020","       9633.75","       9590.00","       9648.90","       9535.00","       9550.45","       9557.60","       9597.49","     113128","          1085744626.45","      18052"
