"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ITC","EQ","01-Feb-2020","        235.15","        236.90","        239.25","        215.50","        219.25","        219.00","        226.82","   42268141","          9587357755.20","     307308"
"ITC","EQ","03-Feb-2020","        219.00","        215.00","        216.90","        205.00","        208.90","        207.60","        209.48","   79764370","         16708887974.20","     436227"
"ITC","EQ","04-Feb-2020","        207.60","        210.80","        217.60","        209.15","        215.95","        215.65","        213.76","   35767812","          7645555501.60","     182198"
"ITC","EQ","05-Feb-2020","        215.65","        216.30","        217.50","        211.50","        216.05","        216.45","        215.20","   21253607","          4573820829.00","     245783"
"ITC","EQ","06-Feb-2020","        216.45","        218.00","        219.90","        211.80","        213.40","        213.55","        215.72","   27388582","          5908200076.55","     221588"
"ITC","EQ","07-Feb-2020","        213.55","        213.80","        215.70","        212.75","        213.30","        213.40","        214.40","   17133407","          3673440145.25","     126285"
"ITC","EQ","10-Feb-2020","        213.40","        214.00","        214.05","        210.05","        210.50","        210.55","        211.41","    9617387","          2033241892.25","     212652"
"ITC","EQ","11-Feb-2020","        210.55","        216.50","        216.95","        211.80","        212.50","        212.60","        213.79","   29803784","          6371725435.00","     352348"
"ITC","EQ","12-Feb-2020","        212.60","        213.40","        214.80","        211.80","        212.95","        213.05","        213.35","    9928416","          2118220128.00","      91939"
"ITC","EQ","13-Feb-2020","        213.05","        213.05","        213.45","        211.20","        212.05","        211.90","        212.06","    9153131","          1941022169.40","     111421"
"ITC","EQ","14-Feb-2020","        211.90","        212.25","        212.90","        206.80","        207.60","        207.70","        209.55","   13731692","          2877476599.10","     119326"
"ITC","EQ","17-Feb-2020","        207.70","        208.00","        208.65","        204.00","        204.25","        204.80","        205.88","   15561953","          3203905544.45","     113582"
"ITC","EQ","18-Feb-2020","        204.80","        204.55","        204.60","        200.50","        204.05","        203.85","        202.08","   20934864","          4230523846.80","     159783"
"ITC","EQ","19-Feb-2020","        203.85","        205.25","        207.15","        203.85","        207.15","        206.70","        205.72","    9054560","          1862691743.35","     115692"
"ITC","EQ","20-Feb-2020","        206.70","        207.00","        208.55","        205.45","        207.90","        207.45","        207.21","   15592846","          3230976211.90","     137512"
"ITC","EQ","24-Feb-2020","        207.45","        207.00","        207.45","        201.80","        203.15","        203.00","        203.98","   16594046","          3384825970.55","     141527"
"ITC","EQ","25-Feb-2020","        203.00","        203.80","        205.40","        201.50","        201.80","        201.80","        203.06","   15313516","          3109638892.35","     144560"
"ITC","EQ","26-Feb-2020","        201.80","        200.65","        201.95","        196.30","        199.00","        198.60","        199.30","   17869240","          3561418854.45","     140431"
"ITC","EQ","27-Feb-2020","        198.60","        198.40","        199.15","        195.90","        196.95","        197.55","        197.60","   17271066","          3412775982.55","     120175"
"ITC","EQ","28-Feb-2020","        197.55","        195.00","        199.90","        192.05","        196.60","        197.55","        196.04","   32628444","          6396355835.10","     240164"
"ITC","EQ","02-Mar-2020","        197.55","        199.50","        203.45","        193.65","        195.50","        195.30","        199.65","   18560049","          3705536591.05","     114142"
"ITC","EQ","03-Mar-2020","        195.30","        197.00","        197.45","        192.55","        194.05","        193.85","        194.56","   17947416","          3491906049.60","     148060"
"ITC","EQ","04-Mar-2020","        193.85","        194.95","        195.55","        186.55","        187.35","        187.50","        189.12","   27664076","          5231908412.85","     138723"
"ITC","EQ","05-Mar-2020","        187.50","        187.55","        191.20","        186.55","        187.60","        188.05","        188.87","   20025924","          3782197171.45","     151318"
"ITC","EQ","06-Mar-2020","        188.05","        184.85","        184.85","        179.75","        181.40","        181.75","        181.99","   26764504","          4870964712.15","     199706"
"ITC","EQ","09-Mar-2020","        181.75","        179.00","        179.00","        174.50","        176.75","        177.20","        177.16","   21795899","          3861308623.15","     156489"
